timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/04 20:59:25.588, 0 %, 15 MiB, 23.80 W
2026/09/04 20:59:27.590, 0 %, 15 MiB, 23.92 W
2026/09/04 20:59:29.590, 0 %, 15 MiB, 23.78 W
2026/09/04 20:59:31.591, 31 %, 1403 MiB, 50.10 W
2026/09/04 20:59:33.591, 20 %, 2093 MiB, 118.19 W
2026/09/04 20:59:35.591, 23 %, 2093 MiB, 100.21 W
2026/09/04 20:59:37.592, 24 %, 2093 MiB, 93.58 W
2026/09/04 20:59:39.592, 78 %, 14603 MiB, 138.60 W
2026/09/04 20:59:41.592, 96 %, 14659 MiB, 148.01 W
2026/09/04 20:59:43.593, 97 %, 14665 MiB, 173.75 W
2026/09/04 20:59:45.593, 62 %, 14677 MiB, 146.02 W
2026/09/04 20:59:47.593, 99 %, 18031 MiB, 171.43 W
2026/09/04 20:59:49.594, 98 %, 18055 MiB, 165.04 W
2026/09/04 20:59:51.594, 36 %, 18055 MiB, 183.73 W
2026/09/04 20:59:53.594, 20 %, 18055 MiB, 118.82 W
2026/09/04 20:59:55.595, 23 %, 18055 MiB, 98.28 W
2026/09/04 20:59:57.595, 23 %, 18055 MiB, 95.65 W
2026/09/04 20:59:59.596, 88 %, 21481 MiB, 158.10 W
2026/09/04 21:00:01.596, 97 %, 21481 MiB, 176.40 W
2026/09/04 21:00:03.596, 20 %, 21481 MiB, 169.50 W
2026/09/04 21:00:05.597, 22 %, 21481 MiB, 102.92 W
2026/09/04 21:00:07.597, 23 %, 21481 MiB, 95.38 W
2026/09/04 21:00:09.597, 84 %, 21481 MiB, 132.31 W
2026/09/04 21:00:11.598, 80 %, 21481 MiB, 152.30 W
2026/09/04 21:00:13.598, 44 %, 21481 MiB, 175.46 W
2026/09/04 21:00:15.598, 20 %, 21481 MiB, 119.06 W
2026/09/04 21:00:17.599, 21 %, 21481 MiB, 94.08 W
2026/09/04 21:00:19.599, 24 %, 21481 MiB, 100.13 W
2026/09/04 21:00:21.599, 100 %, 6005 MiB, 165.62 W
2026/09/04 21:00:23.600, 56 %, 9961 MiB, 170.21 W
2026/09/04 21:00:25.600, 97 %, 9963 MiB, 192.06 W
2026/09/04 21:00:27.600, 18 %, 9963 MiB, 110.08 W
2026/09/04 21:00:29.601, 23 %, 9963 MiB, 97.85 W
2026/09/04 21:00:31.601, 19 %, 9963 MiB, 97.57 W
2026/09/04 21:00:33.601, 88 %, 9963 MiB, 159.76 W
2026/09/04 21:00:35.602, 62 %, 9963 MiB, 171.28 W
2026/09/04 21:00:37.602, 16 %, 9963 MiB, 147.09 W
2026/09/04 21:00:39.602, 22 %, 9963 MiB, 97.44 W
2026/09/04 21:00:41.603, 18 %, 9963 MiB, 95.56 W
2026/09/04 21:00:43.603, 79 %, 9963 MiB, 130.94 W
2026/09/04 21:00:45.604, 100 %, 9963 MiB, 153.51 W
2026/09/04 21:00:47.604, 29 %, 9963 MiB, 164.75 W
2026/09/04 21:00:49.604, 20 %, 9963 MiB, 118.07 W
2026/09/04 21:00:51.605, 18 %, 9963 MiB, 95.38 W
2026/09/04 21:00:53.605, 23 %, 9963 MiB, 100.50 W
2026/09/04 21:00:55.605, 100 %, 9963 MiB, 164.94 W
2026/09/04 21:00:57.606, 26 %, 9963 MiB, 165.00 W
2026/09/04 21:00:59.606, 97 %, 9963 MiB, 182.86 W
2026/09/04 21:01:01.606, 17 %, 9963 MiB, 107.46 W
2026/09/04 21:01:03.607, 22 %, 9963 MiB, 97.47 W
2026/09/04 21:01:05.607, 24 %, 9963 MiB, 108.03 W
